screenshot,room,wall_index,image,x1,y1,x2,y2,x3,y3,x4,y4
d95c3243-3b5f-4fce-adf1-71c30d354ebe,office_2,63,27,53,205,144,746,528,603,535,110
a0d7e097-922c-46b1-9483-dc940ead7d9a,office_2,63,26,332,91,335,207,486,208,487,93
075821ae-eb90-4fe5-9628-335b4b67651d,office_2,63,26,39,33,53,186,255,179,247,30
40d459ed-c973-4cbe-9030-779ba30bd95d,office_2,63,26,769,217,761,378,961,407,973,226
eff56e53-0087-4adc-8934-5eaf7a3e307b,office_2,63,26,729,41,741,236,988,206,984,12
a803063e-cad3-452b-b265-9e6649051743,office_2,63,26,788,61,794,217,1002,189,994,17
4e51837c-f194-483a-851a-facdabf51356,office_2,60,32,581,135,583,398,723,456,728,143
a357c4e0-59ba-4b31-9598-2fec811f894c,office_2,60,32,273,51,272,334,499,367,510,52
c3f2f1b6-6679-4833-a924-01650cd88a70,office_2,60,32,29,247,15,525,178,544,0,0
e3da2eb7-5611-4158-a46e-8e9640455800,office_2,60,32,182,124,202,463,522,437,517,118
2688572e-34c6-4872-a165-4de3ccbb76d6,office_2,63,9,534,90,521,347,725,357,744,100
453d606a-3aaa-4f59-86d2-a40b5ccd0329,office_2,63,9,68,37,108,319,298,273,274,14
3e5a0350-bfe6-4f2f-b93d-517c15ae4ac9,office_2,19,31,836,83,834,165,984,167,988,82
6a948ef4-ded9-4d05-92ce-1d899d92eec5,office_2,19,31,806,46,804,161,970,203,979,75
a24bba5f-7f68-46e2-9fa5-3f7766ba75e7,office_2,19,18,158,295,164,445,421,419,423,279
15b23fae-4eeb-4de4-9427-47a78588347d,office_2,19,18,699,82,694,188,891,190,904,83
ed3d68d6-e020-42aa-bc09-fd62c49150b7,office_2,71,26,601,99,594,309,868,254,865,13
228e8f91-4eab-403a-abf2-2b8dfac7c599,office_2,71,26,173,25,177,330,421,320,420,72
5f72df72-a9c6-46c4-ab15-1a49102105d8,office_2,71,26,754,67,746,260,899,248,909,14
1ac744ec-ffb0-4918-8bb4-5dd388a40c6d,office_2,71,27,414,84,407,402,573,392,582,107
d3b79fbe-77a2-47a5-af62-6d0e0ccebf45,office_2,71,27,692,42,683,381,959,384,965,21
21d4ece3-0d16-4fb6-ba3b-f3cec4246aac,office_2,63,30,768,146,762,390,917,388,921,126
353445d2-156d-43ee-aa79-c1fbc7c64b51,office_2,63,30,127,194,133,430,284,426,278,196
8acd7b64-b258-4d40-9327-ea943edafa85,office_2,63,16,44,86,63,289,373,282,364,78
d11f8b5b-d88b-4f41-9b54-372c3bd46d2f,office_2,63,23,713,105,685,392,833,435,870,107
c6b235bb-2357-4355-be34-a8f878f5223c,office_2,60,29,43,60,60,315,205,321,192,51
0e944607-c040-41c8-a4b6-80dfec84fa43,office_2,60,29,640,200,648,474,848,474,840,182
4df247fd-a8b2-4817-a200-749d659cc363,office_2,71,19,445,10,446,248,569,235,570,24
e25b88f7-d7d6-4ef8-babd-d9aef9a73e2c,office_2,71,19,179,179,183,434,263,411,260,193
2454f7d6-56e8-49ad-8ade-068e3fa19325,office_2,71,19,118,9,120,316,339,327,338,64
4ffec862-6b0c-4bdc-82cb-3067b9b3a200,office_2,71,7,717,32,704,238,985,215,1010,24
b7de0f82-1501-4ff3-a9a3-c2341c7e9e6d,office_2,71,7,432,98,423,301,751,354,776,131
723796ca-bbb3-4a9d-9600-985053812f44,office_2,71,6,573,45,556,466,692,442,709,83
b1f893f8-b0e4-4552-a5d4-a4c7f6097170,office_2,71,6,687,33,672,535,930,681,985,53
53d024af-9d1e-41f6-b413-0b499db13fa6,office_2,63,28,80,231,61,464,403,470,412,235
a81b4686-cddf-4fe0-a773-5f505ab63194,office_2,63,28,258,83,250,246,473,246,481,75
bd8c981d-1a7d-4c0e-99fb-94cc778d6edc,office_2,63,28,236,78,234,249,480,248,480,76
79c586ef-2329-4e0a-b95d-7be5b6d3fefa,office_2,71,10,409,60,421,315,531,302,521,69
fd43968f-6ee7-481e-a813-986715e02169,office_2,71,25,547,155,552,295,766,340,768,181
ecea6a1f-c19e-42dc-891b-6329b528bdce,office_2,71,25,817,389,817,508,990,551,992,414
